"siren","nom","url_platform","id_datagouv","techno_platform"
200040715,"GRENOBLE ALPES METROPOLE","http://data.metropolegrenoble.fr/ckan/dataset?organization=grenoble-alpes-metropole","5732ff7788ee382b08d1b934","CKAN, DataGouv"
239710015,"GUADELOUPE","https://regionguadeloupe.opendatasoft.com/explore/?q=&sort=modified&refine.publisher=Conseil+R%C3%A9gional+Guadeloupe",,"OpenDataSoft"
214400673,"GUEMENE PENFAO",,"5b8fe384634f414b25ea1d30","DataGouv"
214400699,"GUERANDE","https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Guérande",,"OpenDataSoft"
216402495,"GUETHARY",,"61fa458844aee6085677a709","DataGouv"
215600784,"GUIDEL","https://www.opendata56.fr/explore/?refine.publisher=Ville+de+Guidel",,"OpenDataSoft"
212200703,"GUINGUAMP","http://datarmor.cotesdarmor.fr/web/guest/donnees",,"Hop'n Data"
212200711,"GUITTE","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-guitte/",,
442638698,"GWAD'AIR","https://data-gwadair.opendata.arcgis.com/datasets",,"ArcGIS"
440784353,"HAGANIS",,"633561f5a76ac6b7d1fa1419","DataGouv"
216402552,"HALSOU",,"5e4fd909634f41282fea1334","DataGouv"
223100017,"HAUTE GARONNE","https://data.haute-garonne.fr/explore/?refine.publisher=Conseil+départemental+de+la+Haute-Garonne","582a045088ee3875cec65bb4","OpenDataSoft, DataGouv"
327216875,"HAUTE GARONNE TOURISME","https://data.haute-garonne.fr/explore/?refine.publisher=Comit%C3%A9+D%C3%A9partemental+du+Tourisme+de+la+Haute-Garonne+(CDT31)",,
224300012,"HAUTE-LOIRE",,"602bd31ea61a18a27736a6f1","DataGouv"
220500011,"HAUTES ALPES","https://trouver.datasud.fr/dataset?_organization_limit=0&organization=departement-des-hautes-alpes-05&q=","5a98083188ee387ee20c3cdb","CKAN, DataGouv"
226500015,"HAUTES PYRENEES","https://opendata.ha-py.fr/explore/?refine.publisher=D%C3%A9partement+des+Hautes-Pyr%C3%A9n%C3%A9es","5c3f1ca2634f411d2aef4ddb","OpenDataSoft, DataGouv"
200053742,"HAUTS DE FRANCE","http://opendata.hautsdefrance.fr/dataset","5df935d8634f414e69469492","DKAN, DataGouv"
229200506,"HAUTS DE SEINE","https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine","544e1b0888ee38289ae1ed05","OpenDataSoft, DataGouv"
809413586,"HAWA MAYOTTE","https://data-hawa-mayotte.opendata.arcgis.com/datasets",,"ArcGIS"
