type;siren;nom;longitude;latitude
CC;243301264;CC de Montesquieu;-0.554606;44.725144
CC;243301355;CC Les Coteaux Bordelais;-0.472033;44.84594
CC;243301371;CC du Pays Foyen;0.226838;44.82859
CC;243301389;CC Médullienne;-0.80553;45.018694
CC;243301397;CC du Fronsadais;-0.3279;44.948406
CC;243301405;CC du Val de l'Eyre;-0.78199;44.485885
CC;243301439;CC des Portes de l'Entre-deux-Mers;-0.495604;44.791107
CC;243301447;CC Médoc Estuaire;-0.694647;44.989315
CC;243301454;CC Castillon/Pujols;-0.027246;44.858346
CA;243301504;CA du Bassin d'Arcachon Nord;-1.082528;44.75035
MET;243400017;Montpellier Méditerranée Métropole;3.87048;43.610476
CC;243400355;CC du Clermontais;3.429377;43.630085
CA;243400470;CA du Pays de l'Or;3.976877;43.587984
CA;243400470;CA du Pays de l'Or;3.976877;43.587984
CC;243400488;CC La Domitienne;3.121047;43.354322
CC;243400520;CC du Pays de Lunel;4.134681;43.682153
CC;243400694;CC Vallée de l'Hérault;3.564125;43.648705
CC;243400736;CC des Cévennes Gangeoises et Suménoises;3.709409;43.936441
CA;243400769;CA de Béziers-Méditerranée;3.233465;43.343264
CA;243400819;CA Hérault-Méditerranée;3.413962;43.394328
MET;243500139;Rennes Métropole;-1.68365;48.110899
CC;243500550;CC Montfort Communauté;-1.961876;48.124826
CC;243500618;CC Brocéliande Communauté;-2.086794;47.998475
CC;243500634;CC Roche aux Fées Communauté;-1.34862;47.910726
CC;243500659;CC Pays de Châteaugiron Communauté;-1.475887;48.050022
CC;243500667;CC Val d'Ille-Aubigné;-1.718324;48.243973
CC;243500725;CC Côte d'Émeraude;-2.063894;48.581978
CC;243500733;CC Bretagne Romantique;-1.8109;48.380482
CA;243500741;CA Redon Agglomération;-2.074178;47.656781
CC;243500774;CC Liffré-Cormier Communauté;-1.433005;48.176211
CA;243500782;CA du Pays de Saint Malo Agglomération;-1.862605;48.681023
CC;243600202;CC Chabris - Pays de Bazelle;1.666058;47.253947
CC;243600236;CC du Pays d'Issoudun;2.015936;46.942036
CC;243600293;CC de la Région de Levroux;1.593572;46.985339
CC;243600301;CC Val de l'Indre - Brenne;1.452497;46.843894
CC;243600319;CC Brenne - Val de Creuse;1.190265;46.615422
CA;243600327;CA Châteauroux Métropole;1.692997;46.804734
CC;243600343;CC Cœur de Brenne;1.164238;46.807491
CC;243600350;CC de la Châtre et Sainte-Sévère;1.991945;46.573543
CC;243700499;CC du Castelrenaudais;0.909328;47.59467
MET;243700754;Tours Métropole Val de Loire;0.694273;47.395476
CC;243700820;CC de Bléré Val de Cher;0.978827;47.310141
CA;243800604;CA Porte de l'Isère (C.A.P.I);5.227615;45.615047
CC;243800745;CC de l'Oisans;6.038312;45.052099
CC;243800935;CC Lyon Saint Exupéry en Dauphiné;5.152387;45.741421
CA;243800984;CA du Pays Voironnais;5.585446;45.378051
CC;243801024;CC du Massif du Vercors;5.550044;45.068434
CC;243801073;CC de Bièvre Est;5.454208;45.401493
CC;243801255;CC des Collines du Nord Dauphiné;5.060951;45.628413
CC;243900354;CC de la Station des Rousses-Haut Jura;6.067869;46.479249
CC;243900420;CC du Val d'Amour;5.709302;46.998337
CC;243900479;CC Haut-Jura Arcade Communauté;5.985304;46.512012
CC;243900560;CC Jura Nord;5.736464;47.173436
CC;243900610;CC La Grandvallière;5.954263;46.580133
CC;243901089;CC de la Plaine Jurassienne;5.407737;46.96737
CC;244000543;CC de Mimizan;-1.247858;44.195575
CC;244000659;CC du Seignanx;-1.387529;43.535984
CA;244000675;CA du Grand Dax;-1.06016;43.700723
CC;244000691;CC du Pays Morcenais;-0.921633;44.03285
CC;244000766;CC du Pays Tarusate;-0.787334;43.818244
CC;244000774;CC du Pays de Villeneuve en Armagnac Landais;-0.307068;43.896537
